code	lc	product_name_de	product_name_en	product_name_es	product_name_fr	generic_name_en	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	energy_value	energy_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_3_shape	packaging_3_material	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_data.missing_key_data	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
8934839122508	en		closeup				160g				coseup	coseup		Non food products, Open Beauty Facts, Toothpaste	en:non-food-products,en:open-beauty-facts,en:toothpaste			Ethiopia	en:ethiopia			0																	100g	100g																																		not-applicable	not-applicable		unknown	1	-5	-15	1	0							App - Open Food Facts, Apps
9319871000943	ms		whitening toothpaste				150g				white glo	white-glo						Malaysia	en:malaysia			0																	100g	100g																																		unknown	unknown		unknown	1	-5	-15	1	0							
0681131224000	en		equate antiplaque whitenimg toothpaste															United States	en:united-states			0									calcium carbonate, glycerin, water, xylitol, hydrated silica, sodium lauroyl sarcosinate, benton zinc citrate, carrageenan, sodium bicarbonate, mentha piperita (peppermint) oil, distrie *this pr distrib								100g	100g																																	4	en:4-ultra-processed-food-and-drink-products	unknown		unknown	1	-5	-15	1	0							App - InFood, Apps
0310158850007	en		Pronamel Gentle Whitening Toothpaste						Card-box	en:card-box	Sensodyne	sensodyne						United States	en:united-states			0																	100g	100g																						en:box												unknown	unknown		unknown		-5	-10	0	0							App - Horizon, Apps
8711231153176	en		Dog toothpaste						Hdpe-bottle	en:hdpe-bottle	Beaphar	beaphar						United Kingdom	en:united-kingdom			0																	100g	100g																						en:bottle	en:hdpe-2-high-density-polyethylene											unknown	unknown		unknown		-5	-5	0	0							App - Horizon, Apps
5000347054495	en		Toothpaste						Card-box	en:card-box	Sensodyne	sensodyne						United Kingdom	en:united-kingdom			0																	100g	100g																						en:box												unknown	unknown		unknown		-5	-10	0	0							App - Horizon, Apps
0858656007870	en		Xylitol Chewtab Toothpaste Tablets						Glass-jar	en:glass-jar	Xylitol	xylitol						United States	en:united-states			0																	100g	100g																						en:jar	en:glass											unknown	unknown		unknown		-5	-2	0	0							App - Horizon, Apps
0850000948020	en		Lunar Peppermint Stain Removal Whitening Toothpaste						Card-box	en:card-box								United States	en:united-states			0																	100g	100g																						en:box												unknown	unknown		unknown		-5	-10	0	0							App - Horizon, Apps
0071567999403	en		Jelly beans, stink bug, toasted marshmallow, dirty dishwater, birthday cake, rotten egg, buttered popcorn, toothpaste, berry blue, barf, peach, canned dog food, chocolate pudding, booger, juicy pear, spoiled milk, coconut, stinky socks, tutti-fruitti, dea					4 BAGS (32 g)					Jelly Belly Candy Company	Snacks, Sweet snacks, Confectioneries	en:snacks,en:sweet-snacks,en:confectioneries			United States	en:united-states			0									Sugar, tapioca syrup, modified food starch, contains 2% or less of the following: peach puree concentrate, banana puree, pear juice concentrate, coconut, dark chocolate (sugar, chocolate liquor, cocoa butter), cocoa powder, natural and artificial flavors, vinegar, citric acid, sodium citrate, sodium diacetate, color added, red 40 lake, yellow 5 & 6 lake, yellow 5 & 6, red 40, blue 1 & 2 lake, blue 1, vegetable and fruit juice (color), maltodextrin, beeswax, carnauba wax, confectioner's glaze, tapioca dextrin, salt.								100g	100g	344	kcal	0	g			90.62	g	65.62	g			0	g	117.5	mg	47	mg	344	kcal											en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	14	unknown	1	-5	-15	1	0	2019-05-15T00:00:00Z	Candy	LI	707528	2019-05-15T00:00:00Z	2019-12-06T00:00:00Z	Databases, database-usda
5057545952139	ar		toothpaste				Tesco		Tesco	ar:tesco	cavities	cavities		en:Tesco	en:tesco	en:tube	en:tube	"المملكة المتحدة"	en:united-kingdom			0																true	100g	100g																																		unknown	unknown		unknown	1	-5	-15	1	0							
0861226000003	en		Davids Natural ToothPaste															United States	en:united-states			0									calcium carbonate (limestone abrasive), purified water, sodium bicarbonate (baking soda), vegetable glycerin, hydrated silica, xylitol (birch derived), sodium cocoyl glutamate (coconut derived), carrageenan (seaweed extract), mentha piperita (peppermint) oil, mentha viridis (spearmint) leaf oil, pimpinella anisum (anise) seed extract, gaultheria procumbens (wintergreen) leaf oil, stevia (leaf extract), davids natural toothpaste, inc,, temecula, california www,davids-usa,com made in usa nature america you								100g	100g																																	4	en:4-ultra-processed-food-and-drink-products	unknown		unknown	1	-5	-15	1	0							App - InFood, Apps
6970692620197	en		Aloe Vera crogeita											Non food products, Open Beauty Facts, Toothpaste	en:non-food-products,en:open-beauty-facts,en:toothpaste			France	en:france			0																	100g	100g																																		not-applicable	not-applicable		unknown	1	-5	-15	1	0							App - off, Apps, App - Open Food Facts
